query_date,doc_name,doc_type,operation,page_number,prompt_tokens,completion_tokens,total_tokens,model_id
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,9,1382,697,2079,likely gpt-4.1-mini
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,10,1382,539,1921,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,1,1382,678,2060,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,2,1382,847,2229,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,3,1382,886,2268,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,4,1382,886,2268,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,5,1382,894,2276,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,6,1382,752,2134,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,7,1382,804,2186,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,8,1382,683,2065,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,9,1382,699,2081,likely gpt-4.1-mini
7/30/2025 16:18,Giuliani SSP MSA,MSA,extraction,10,1382,539,1921,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,1,1475,722,2197,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,2,1475,815,2290,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,3,1475,883,2358,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,4,1475,884,2359,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,5,1475,882,2357,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,6,1475,751,2226,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,7,1475,796,2271,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,8,1475,668,2143,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,9,1475,785,2260,likely gpt-4.1-mini
7/30/2025 20:26,Giuliani SSP MSA,MSA,extraction,10,1475,803,2278,likely gpt-4.1-mini
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,1,1521,675,2196,likely gpt-4.1-mini
